title,publisher,citation,abstract,keywords,author_university
An Efficient Surrogate Model for Emulation and Physics Extraction of Large Eddy Simulations,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,50,"In the quest for advanced propulsion and power-generation systems, high-fidelity simulations are too computationally expensive to survey the desired design space, and a new design methodology is needed that combines engineering physics, computer simulations, and statistical modeling. In this article, we propose a new surrogate model that provides efficient prediction and uncertainty quantification of turbulent flows in swirl injectors with varying geometries, devices commonly used in many engineering applications. The novelty of the proposed method lies in the incorporation of known physical properties of the fluid flow as simplifying assumptions for the statistical model. In view of the massive simulation data at hand, which is on the order of hundreds of gigabytes, these assumptions allow for accurate flow predictions in around an hour of computation time. To contrast, existing flow emulators which forgo such simplifications may require more computation time for training and prediction than is needed for conducting the simulation itself. Moreover, by accounting for coupling mechanisms between flow variables, the proposed model can jointly reduce prediction uncertainty and extract useful flow physics, which can then be used to guide further investigations. Supplementary materials for this article, including a standardized description of the materials available for reproducing the work, are available as an online supplement.","Computer experiments,Kriging,Rocket injectors,Sparsity,Spatio-temporal flow,Turbulence","Mak, Simon@University System of Georgia@Georgia Institute of Technology::Sung, Chih-Li@University System of Georgia@Georgia Institute of Technology::Wang, Xingjian@University System of Georgia@Georgia Institute of Technology::Yeh, Shiang-Ting@University System of Georgia@Georgia Institute of Technology::Chang, Yu-Hung@University System of Georgia@Georgia Institute of Technology::Joseph, V. Roshan@University System of Georgia@Georgia Institute of Technology::Yang, Vigor@University System of Georgia@Georgia Institute of Technology::Wu, C. F. Jeff@University System of Georgia@Georgia Institute of Technology"
Modeling Random Effects Using Global-Local Shrinkage Priors in Small Area Estimation,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,43,"Small area estimation is becoming increasingly popular for survey statisticians. One very important program is Small Area Income and Poverty Estimation undertaken by the United States Bureau of the Census, which aims at providing estimates related to income and poverty based on American Community Survey data at the state level and even at lower levels of geography. This article introduces global-local (GL) shrinkage priors for random effects in small area estimation to capture wide area level variation when the number of small areas is very large. These priors employ two levels of parameters, global and local parameters, to express variances of area-specific random effects so that both small and large random effects can be captured properly. We show via simulations and data analysis that use of the GL priors can improve estimation results in most cases. Supplementary materials for this article, including a standardized description of the materials available for reproducing the work, are available as an online supplement.","Bayesian model,Fay-Herriot model,Poverty rate,Spike-and-slab prior","Tang, Xueying@Columbia University::Ghosh, Malay@University of Florida@State University System of Florida::Ha, Neung Soo@Unknow::Sedransk, Joseph@University System of Maryland@University of Maryland College Park"
To Wait or Not to Wait: Two-Way Functional Hazards Model for Understanding Waiting in Call Centers,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,41,"Telephone call centers offer a convenient communication channel between businesses and their customers. Efficient management of call centers needs accurate modeling of customer waiting behavior, which contains important information about customer patience (how long a customer is willing to wait) and service quality (how long a customer needs to wait to get served). Hazard functions offer dynamic characterization of customer waiting behavior, and provide critical inputs for agent scheduling. Motivated by this application, we develop a two-way functional hazards (tF-Hazards) model to study customer waiting behavior as a function of two timescales, waiting duration and the time of day that a customer calls in. The model stems from a two-way piecewise constant hazard function, and imposes low-rank structure and smoothness on the hazard rates to enhance interpretability. We exploit an alternating direction method of multipliers algorithm to optimize a penalized likelihood function of the model. We carefully analyze the data from a U.S. Bank call center, and provide informative insights about customer patience and service quality patterns along waiting time and across different times of a day. The findings provide primitive inputs for call center agent staffing and scheduling, as well as for call center practitioners to understand the effect of system protocols on customer waiting behavior. Supplementary materials for this article are available online.","Alternating direction method of multipliers,Call center workforce management,Human patience,Low-rank structure,Penalized likelihood,Smooth hazard surface","Li, Gen@Columbia University::Huang, Jianhua Z.@Texas A&M University College Station@Texas A&M University System::Shen, Haipeng@University of Hong Kong"
"Dynamic Modeling of Conditional Quantile Trajectories, With Application to Longitudinal Snippet Data",JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,49,"Longitudinal data are often plagued with sparsity of time points where measurements are available. The functional data analysis perspective has been shown to provide an effective and flexible approach to address this problem for the case where measurements are sparse but their times are randomly distributed over an interval. Here, we focus on a different scenario where available data can be characterized as snippets, which are very short stretches of longitudinal measurements. For each subject, the stretch of available data is much shorter than the time frame of interest, a common occurrence in accelerated longitudinal studies. An added challenge is introduced if a time proxy that is basic for usual longitudinal modeling is not available. This situation arises in the case of Alzheimer's disease and comparable scenarios, where one is interested in time dynamics of declining performance, but the time of disease onset is unknown and chronological age does not provide a meaningful time reference for longitudinal modeling. Our main methodological contribution to address these challenges is to introduce conditional quantile trajectories for monotonic processes that emerge as solutions of a dynamic system. Our proposed estimates for these trajectories are shown to be uniformly consistent. Conditional quantile trajectories are useful descriptors of processes that quantify deterioration over time, such as hippocampal volumes in Alzheimer's patients. We demonstrate how the proposed approach can be applied to longitudinal snippets data sampled from such processes. Supplementary materials for this article are available online.","Accelerated longitudinal study,Autonomous differential equation,Functional data analysis,Hippocampal volume,Monotonic process,Nonparametric estimation,Uniform convergence","Dawson, Matthew@University of California Davis@University of California System::Mueller, Hans-Georg@University of California Davis@University of California System"
Modeling Tangential Vector Fields on a Sphere,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,56,"Physical processes that manifest as tangential vector fields on a sphere are common in geophysical and environmental sciences. These naturally occurring vector fields are often subject to physical constraints, such as being curl-free or divergence-free. We start with constructing parametric models for curl-free and divergence-free vector fields that are tangential to the unit sphere through applying the surface gradient or the surface curl operator to a scalar random potential field on the unit sphere. Using the Helmholtz-Hodge decomposition, we then construct a class of simple but flexible parametric models for general tangential vector fields, which are represented as a sum of a curl-free and a divergence-free components. We propose a likelihood-based parameter estimation procedure, and show that fast computation is possible even for large datasets when the observations are on a regular latitude-longitude grid. Characteristics and practical utility of the proposed methodology are illustrated through extensive simulation studies and an application to a dataset of ocean surface wind velocities collected by satellite-based scatterometers. We also compare our model with a bivariate Matern model and a non-stationary bivariate global model. Supplementary materials for this article are available online.","Curl-free,Divergence-free,Helmholtz-Hodge decomposition,Matern model,Ocean surface wind","Fan, Minjie@University of California Davis@University of California System::Paul, Debashis@University of California Davis@University of California System::Lee, Thomas C. M.@University of California Davis@University of California System::Matsuo, Tomoko@University of Colorado System@University of Colorado Boulder"
A Nonparametric Graphical Model for Functional Data With Application to Brain Networks Based on fMRI,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,41,"We introduce a nonparametric graphical model whose observations on vertices are functions. Many modern applications, such as electroencephalogram and functional magnetic resonance imaging (fMRI), produce data are of this type. The model is based on additive conditional independence (ACI), a statistical relation that captures the spirit of conditional independence without resorting to multi-dimensional kernels. The random functions are assumed to reside in a Hilbert space. No distributional assumption is imposed on the random functions: instead, their statistical relations are characterized nonparametrically by a second Hilbert space, which is a reproducing kernel Hilbert space whose kernel is determined by the inner product of the first Hilbert space. A precision operator is then constructed based on the second space, which characterizes ACI, and hence also the graph. The resulting estimator is relatively easy to compute, requiring no iterative optimization or inversion of large matrices. We establish the consistency and the convergence rate of the estimator. Through simulation studies we demonstrate that the estimator performs better than the functional Gaussian graphical model when the relations among vertices are nonlinear or heteroscedastic. The method is applied to an fMRI dataset to construct brain networks for patients with attention-deficit/hyperactivity disorder. Supplementary materials for this article are available online","Additive conditional independence,Additive correlation operator,Additive precision operator,EEG,fMRI,Gaussian graphical model,Reproducing kernel Hilbert space","Li, Bing@Penn State University@Pennsylvania Commonwealth System of Higher Education (PCSHE)::Solea, Eftychia@Penn State University@Pennsylvania Commonwealth System of Higher Education (PCSHE)"
Bayesian Estimation and Comparison of Moment Condition Models,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,40,"In this article, we develop a Bayesian semiparametric analysis of moment condition models by casting the problem within the exponentially tilted empirical likelihood (ETEL) framework. We use this framework to develop a fully Bayesian analysis of correctly and misspecified moment condition models. We show that even under misspecification, the Bayesian ETEL posterior distribution satisfies the Bernstein-von Mises (BvM) theorem. We also develop a unified approach based on marginal likelihoods and Bayes factors for comparing different moment-restricted models and for discarding any misspecified moment restrictions. Computation of the marginal likelihoods is by the method of Chib (1995) as extended to Metropolis-Hastings samplers in Chib and Jeliazkov in 2001. We establish the model selection consistency of the marginal likelihood and show that the marginal likelihood favors the model with the minimum number of parameters and the maximum number of valid moment restrictions. When the models are misspecified, the marginal likelihood model selection procedure selects the model that is closer to the (unknown) true data-generating process in terms of the Kullback-Leibler divergence. The ideas and results in this article broaden the theoretical underpinning and value of the Bayesian ETEL framework with many practical applications. The discussion is illuminated through several examples. Supplementary materials for this article are available online.","Bernstein-von Mises theorem,Estimating equations,Exponentially tilted empirical likelihood,Marginal likelihood,Misspecification,Model selection consistency","Chib, Siddhartha@Washington University (WUSTL)::Shin, Minchul@University of Illinois Urbana-Champaign@University of Illinois System::Simoni, Anna@Universite Paris Saclay (ComUE)@Centre National de la Recherche Scientifique (CNRS)@ENSAE ParisTech"
Reconciling Curvature and Importance Sampling Based Procedures for Summarizing Case Influence in Bayesian Models,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,25,"Methods for summarizing case influence in Bayesian models take essentially two forms: (1) use common divergence measures for calculating distances between the full-data posterior and the case-deleted posterior, and (2) measure the impact of infinitesimal perturbations to the likelihood to study local case influence. Methods based on approach (1) lead naturally to considering the behavior of case-deletion importance sampling weights (the weights used to approximate samples from the case-deleted posterior using samples from the full posterior). Methods based on approach (2) lead naturally to considering the local curvature of the Kullback-Leibler divergence of the full posterior from a geometrically perturbed quasi-posterior. By examining the connections between the two approaches, we establish a rationale for employing low-dimensional summaries of case influence obtained entirely via the variance-covariance matrix of the log importance sampling weights. We illustrate the use of the proposed diagnostics using real and simulated data. Supplementary materials are available online.","Case deletion,Covariance matrix,Graphical model diagnostics,Kullback-Leibler divergence,Principal components analysis","Thomas, Zachary M.@Eli Lilly::MacEachern, Steven N.@Ohio State University::Peruggia, Mario@Ohio State University"
Particle EM for Variable Selection,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,40,"Despite its long history of success, the EM algorithm has been vulnerable to local entrapment when the posterior/likelihood is multi-modal. This is particularly pronounced in spike-and-slab posterior distributions for Bayesian variable selection. The main thrust of this article is to introduce the particle EM algorithm, a new population-based optimization strategy that harvests multiple modes in search spaces that present many local maxima. Motivated by nonparametric variational Bayes strategies, particle EM achieves this goal by deploying an ensemble of interactive repulsive particles. These particles are geared toward uncharted areas of the posterior, providing a more comprehensive summary of its topography than simple parallel EM deployments. A sequential Monte Carlo variant of particle EM is also proposed that explores a sequence of annealed posteriors by sampling from a set of mutually avoiding particles. Particle EM outputs a deterministic reconstruction of the posterior distribution for approximate fully Bayes inference by capturing its essential modes and mode weights. This reconstruction reflects model selection uncertainty and is supported by asymptotic considerations, which indicate that the requisite number of particles need not be large in the presence of sparsity (when p > n). Supplementary materials for this article are available online.","EM algorithm,Ensemble optimization,Multimodality,Spike-and-slab","Rockova, Veronika@University of Chicago"
A Massive Data Framework for M-Estimators with Cubic-Rate,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,24,"The divide and conquer method is a common strategy for handling massive data. In this article, we study the divide and conquer method for cubic-rate estimators under the massive data framework. We develop a general theory for establishing the asymptotic distribution of the aggregated M-estimators using a weighted average with weights depending on the subgroup sample sizes. Under certain condition on the growing rate of the number of subgroups, the resulting aggregated estimators are shown to have faster convergence rate and asymptotic normal distribution, which are more tractable in both computation and inference than the original M-estimators based on pooled data. Our theory applies to a wide class of M-estimators with cube root convergence rate, including the location estimator, maximum score estimator, and value search estimator. Empirical performance via simulations and a real data application also validate our theoretical findings. Supplementary materials for this article are available online.","Cubic rate asymptotics,Divide and conquer,M-estimators,Massive data","Shi, Chengchun@North Carolina State University@University of North Carolina::Lu, Wenbin@North Carolina State University@University of North Carolina::Song, Rui@North Carolina State University@University of North Carolina"
A Powerful Bayesian Test for Equality of Means in High Dimensions,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,27,"We develop a Bayes factor-based testing procedure for comparing two population means in high-dimensional settings. In large-p-small-n settings, Bayes factors based on proper priors require eliciting a large and complex p x p covariance matrix, whereas Bayes factors based on Jeffrey's prior suffer the same impediment as the classical Hotelling T-2 test statistic as they involve inversion of ill-formed sample covariance matrices. To circumvent this limitation, we propose that the Bayes factor be based on lower dimensional random projections of the high-dimensional data vectors. We choose the prior under the alternative to maximize the power of the test for a fixed threshold level, yielding a restricted most powerful Bayesian test (RMPBT). The final test statistic is based on the ensemble of Bayes factors corresponding to multiple replications of randomly projected data. We show that the test is unbiased and, under mild conditions, is also locally consistent. We demonstrate the efficacy of the approach through simulated and real data examples. Supplementary materials for this article are available online.","Bayes factor,Random projection,Restricted most powerful Bayesian tests,Testing of hypotheses","Zoh, Roger S.@Texas A&M University College Station@Texas A&M University System::Sarkar, Abhra@Duke University::Carroll, Raymond J.@Texas A&M University College Station@Texas A&M University System@University of Technology Sydney::Mallick, Bani K.@Texas A&M University College Station@Texas A&M University System"
Post-Selection Inference Following Aggregate Level Hypothesis Testing in Large-Scale Genomic Data,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,29,"In many genomic applications, hypotheses tests are performed for powerful identification of signals by aggregating test-statistics across units within naturally defined classes. Following class-level testing, it is naturally of interest to identify the lower level units which contain true signals. Testing the individual units within a class without taking into account the fact that the class was selected using an aggregate-level test-statistic, will produce biased inference. We develop a hypothesis testing framework that guarantees control for false positive rates conditional on the fact that the class was selected. Specifically, we develop procedures for calculating unit level p-values that allows rejection of null hypotheses controlling for two types of conditional error rates, one relating to family-wise rate and the other relating to false discovery rate. We use simulation studies to illustrate validity and power of the proposed procedure in comparison to several possible alternatives. We illustrate the power of the method in a natural application involving whole-genome expression quantitative trait loci (eQTL) analysis across 17 tissue types using data from The Cancer Genome Atlas (TCGA) Project. Supplementary materials for this article are available online.","Conditional p-value,False discovery rate,Multiple testing,Selective inference","Heller, Ruth@NIH National Cancer Institute (NCI)@National Institutes of Health (NIH) - USA@Tel Aviv University::Chatterjee, Nilanjan@Johns Hopkins Bloomberg School of Public Health@Johns Hopkins University::Krieger, Abba@University of Pennsylvania::Shi, Jianxin@NIH National Cancer Institute (NCI)@National Institutes of Health (NIH) - USA"
Efficient Estimation for Semiparametric Structural Equation Models With Censored Data,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,34,"Structural equation modeling is commonly used to capture complex structures of relationships among multiple variables, both latent and observed. We propose a general class of structural equation models with a semiparametric component for potentially censored survival times. We consider nonparametric maximum likelihood estimation and devise a combined expectation-maximization and Newton-Raphson algorithm for its implementation. We establish conditions for model identifiability and prove the consistency, asymptotic normality, and semiparametric efficiency of the estimators. Finally, we demonstrate the satisfactory performance of the proposed methods through simulation studies and provide an application to a motivating cancer study that contains a variety of genomic variables. Supplementary materials for this article are available online.","Integrative analysis,Joint modeling,Latent variables,Model identifiability,Nonparametric maximum likelihood estimation,Survival analysis","Wong, Kin Yau@University of North Carolina@University of North Carolina Chapel Hill::Zeng, Donglin@University of North Carolina@University of North Carolina Chapel Hill::Lin, D. Y.@University of North Carolina@University of North Carolina Chapel Hill"
Testing for Inequality Constraints in Singular Models by Trimming or Winsorizing the Variance Matrix,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,45,"There are many applications in which a statistic follows, at least asymptotically, a normal distribution with a singular or nearly singular variance matrix. A classic example occurs in linear regression models under multicollinearity but there are many more such examples. There is well-developed theory for testing linear equality constraints when the alternative is two-sided and the variance matrix is either singular or nonsingular. In recent years, there is considerable, and growing, interest in developing methods for situations in which the estimated variance matrix is nearly singular. However, there is no corresponding methodology for addressing one-sided, that is, constrained or ordered alternatives. In this article, we develop a unified framework for analyzing such problems. Our approach may be viewed as the trimming or winsorizing of the eigenvalues of the corresponding variance matrix. The proposed methodology is applicable to a wide range of scientific problems and to a variety of statistical models in which inequality constraints arise. We illustrate the methodology using data from a gene expression microarray experiment obtained from the NIEHS' Fibroid Growth Study. Supplementary materials for this article are available online.","Constrained and ordered inference,Generalized inverse,Modified likelihood ratio test (mLRT),Moore-Penrose inverse,(nearly) Singular variance matrix","Davidov, Ori@University of Haifa::Jelsema, Casey M.@West Virginia University::Peddada, Shyamal@NIH National Institute of Environmental Health Sciences (NIEHS)@National Institutes of Health (NIH) - USA"
"Partial Identification of the Average Treatment Effect Using Instrumental Variables: Review of Methods for Binary Instruments, Treatments, and Outcomes",JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,61,"Several methods have been proposed for partially or point identifying the average treatment effect (ATE) using instrumental variable (IV) type assumptions. The descriptions of these methods are widespread across the statistical, economic, epidemiologic, and computer science literature, and the connections between the methods have not been readily apparent. In the setting of a binary instrument, treatment, and outcome, we review proposed methods for partial and point identification of the ATE under IV assumptions, express the identification results in a common notation and terminology, and propose a taxonomy that is based on sets of identifying assumptions. We further demonstrate and provide software for the application of these methods to estimate bounds. Supplementary materials for this article are available online.","Average treatment effect,Causal graphical model,Instrument,Instrumental variable,Partial identification,Single world intervention graph","Swanson, Sonja A.@Harvard T.H. Chan School of Public Health@Erasmus University Medical Center@Erasmus University Rotterdam::Hernan, Miguel A.@Harvard T.H. Chan School of Public Health@Harvard University::Miller, Matthew@Harvard T.H. Chan School of Public Health@Northeastern University::Robins, James M.@Harvard T.H. Chan School of Public Health::Richardson, Thomas S.@University of Washington@University of Washington Seattle"
Bayesian Semiparametric Multivariate Density Deconvolution,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,38,"We consider the problem of multivariate density deconvolution when interest lies in estimating the distribution of a vector valued random variable X but precise measurements on X are not available, observations being contaminated by measurement errors U. The existing sparse literature on the problem assumes the density of the measurement errors to be completely known. We propose robust Bayesian semiparametric multivariate deconvolution approaches when the measurement error density of U is not known but replicated proxies are available for at least some individuals. Additionally, we allow the variability of U to depend on the associated unobserved values of X through unknown relationships, which also automatically includes the case of multivariate multiplicative measurement errors. Basic properties of finite mixture models, multivariate normal kernels, and exchangeable priors are exploited in novel ways to meet modeling and computational challenges. Theoretical results showing the flexibility of the proposed methods in capturing a wide variety of data-generating processes are provided. We illustrate the efficiency of the proposed methods in recovering the density of X through simulation experiments. The methodology is applied to estimate the joint consumption pattern of different dietary components from contaminated 24 h recalls. Supplementary materials for this article are available online.","B-splines,Conditional heteroscedasticity,Latent factor analyzers,Measurement errors,Mixture models,Multivariate density deconvolution,Regularization,Shrinkage","Sarkar, Abhra@Duke University@University of Texas Austin@University of Texas System::Pati, Debdeep@Texas A&M University College Station@Florida State University@Texas A&M University System@State University System of Florida::Chakraborty, Antik@Texas A&M University College Station@Texas A&M University System::Mallick, Bani K.@Texas A&M University College Station@Texas A&M University System::Carroll, Raymond J.@Texas A&M University College Station@Texas A&M University System@University of Technology Sydney"
Learning Optimal Personalized Treatment Rules in Consideration of Benefit and Risk: With an Application to Treating Type 2 Diabetes Patients With Insulin Therapies,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,38,"Individualized medical decision making is often complex due to patient treatment response heterogeneity. Pharmacotherapy may exhibit distinct efficacy and safety profiles for different patient populations. An optimal treatment that maximizes clinical benefit for a patient may also lead to concern of safety due to a high risk of adverse events. Thus, to guide individualized clinical decision making and deliver optimal tailored treatments, maximizing clinical benefit should be considered in the context of controlling for potential risk. In this work, we propose two approaches to identify personalized optimal treatment strategy that maximizes clinical benefit under a constraint on the average risk. We derive the theoretical optimal treatment rule under the risk constraint and draw an analogy to the Neyman-Pearson lemma to prove the theorem. We present algorithms that can be easily implemented by any off-the-shelf quadratic programming package. We conduct extensive simulation studies to show satisfactory risk control when maximizing the clinical benefit. Finally, we apply our method to a randomized trial of type 2 diabetes patients to guide optimal utilization of the first line insulin treatments based on individual patient characteristics while controlling for the rate of hypoglycemia events. We identify baseline glycated hemoglobin level, body mass index, and fasting blood glucose as three key factors among 18 biomarkers to differentiate treatment assignments, and demonstrate a successful control of the risk of hypoglycemia in both the training and testing dataset.","Benefit-risk analysis,Hypoglycemia,Machine learning,Neyman-Pearson lemma,Personalized medicine","Wang, Yuanjia@Columbia University::Fu, Haoda@Eli Lilly::Zeng, Donglin@University of North Carolina School of Medicine@University of North Carolina@University of North Carolina Chapel Hill"
"The Effect of Probing ""Don't Know"" Responses on Measurement Quality and Nonresponse in Surveys",JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,37,"In survey interviews, Don't know (DK) responses are commonly treated as missing data. One way to reduce the rate of such responses is to probe initial DK answers with a follow-up question designed to encourage respondents to give substantive, non-DK responses. However, such probing can also reduce data quality by introducing additional or differential measurement error. We propose a latent variable model for analyzing the effects of probing on responses to survey questions. The model makes it possible to separate measurement effects of probing from true differences between respondents who do and do not require probing. We analyze new data from an experiment, which compared responses to two multi-item batteries of questions with and without probing. In this study, probing reduced the rate of DK responses by around a half. However, it also had substantial measurement effects, in that probed answers were often weaker measures of constructs of interest than were unprobed answers. These effects were larger for questions on attitudes than for pseudo-knowledge questions on perceptions of external facts. The results provide evidence against the use of probing of Don't know responses, at least for the kinds of items and respondents considered in this study. Supplementary materials for this article are available online.","Interviewing,Latent class model,Latent variable model,Measurement error,Missing data,Questionnaire design","Kuha, Jouni@London School Economics & Political Science@University of London::Butt, Sarah@City University London::Katsikatsou, Myrsini@London School Economics & Political Science@University of London::Skinner, Chris J.@London School Economics & Political Science@University of London"
Analyzing Two-Stage Experiments in the Presence of Interference,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,54,"Two-stage randomization is a powerful design for estimating treatment effects in the presence of interference; that is, when one individual's treatment assignment affects another individual's outcomes. Our motivating example is a two-stage randomized trial evaluating an intervention to reduce student absenteeism in the School District of Philadelphia. In that experiment, households with multiple students were first assigned to treatment or control; then, in treated households, one student was randomly assigned to treatment. Using this example, we highlight key considerations for analyzing two-stage experiments in practice. Our first contribution is to address additional complexities that arise when household sizes vary; in this case, researchers must decide between assigning equal weight to households or equal weight to individuals. We propose unbiased estimators for a broad class of individual- and household-weighted estimands, with corresponding theoretical and estimated variances. Our second contribution is to connect two common approaches for analyzing two-stage designs: linear regression and randomization inference. We show that, with suitably chosen standard errors, these two approaches yield identical point and variance estimates, which is somewhat surprising given the complex randomization scheme. Finally, we explore options for incorporating covariates to improve precision. We confirm our analytic results via simulation studies and apply these methods to the attendance study, finding substantively meaningful spillover effects.","Causal inference under interference,Randomization inference,Student attendance,Two-stage randomization","Basse, Guillaume@Harvard University::Feller, Avi@University of California Berkeley@University of California System"
Compression and Conditional Emulation of Climate Model Output,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,35,"Numerical climate model simulations run at high spatial and temporal resolutions generate massive quantities of data. As our computing capabilities continue to increase, storing all of the data is not sustainable, and thus it is important to develop methods for representing the full datasets by smaller compressed versions. We propose a statistical compression and decompression algorithm based on storing a set of summary statistics as well as a statistical model describing the conditional distribution of the full dataset given the summary statistics. We decompress the data by computing conditional expectations and conditional simulations from the model given the summary statistics. Conditional expectations represent our best estimate of the original data but are subject to oversmoothing in space and time. Conditional simulations introduce realistic small-scale noise so that the decompressed fields are neither too smooth nor too rough compared with the original data. Considerable attention is paid to accurately modeling the original dataset1 year of daily mean temperature dataparticularly with regard to the inherent spatial nonstationarity in global fields, and to determining the statistics to be stored, so that the variation in the original data can be closely captured, while allowing for fast decompression and conditional emulation on modest computers. Supplementary materials for this article are available online.","Gaussian process,Half-spectral,Nonstationary,Spatial-temporal data,SPDE","Guinness, Joseph@North Carolina State University@University of North Carolina::Hammerling, Dorit@National Center Atmospheric Research (NCAR) - USA"
Modeling for Dynamic Ordinal Regression Relationships: An Application to Estimating Maturity of Rockfish in California,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,42,"We develop a Bayesian nonparametric framework for modeling ordinal regression relationships, which evolve in discrete time. The motivating application involves a key problem in fisheries research on estimating dynamically evolving relationships between age, length, and maturity, the latter recorded on an ordinal scale. The methodology builds from nonparametric mixture modeling for the joint stochastic mechanism of covariates and latent continuous responses. This approach yields highly flexible inference for ordinal regression functions while at the same time avoiding the computational challenges of parametric models that arise from estimation of cut-off points relating the latent continuous and ordinal responses. A novel-dependent Dirichlet process prior for time-dependent mixing distributions extends the model to the dynamic setting. The methodology is used for a detailed study of relationships between maturity, age, and length for Chilipepper rockfish, using data collected over 15 years along the coast of California. Supplementary materials for this article are available online.","Chilipepper rockfish,Dependent Dirichlet process,Dynamic density estimation,Growth curves,Ordinal regression","DeYoreo, Maria@Duke University@RAND Corporation::Kottas, Athanasios@University of California System@University of California Santa Cruz"
BNP-Seq: Bayesian Nonparametric Differential Expression Analysis of Sequencing Count Data,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,67,"We perform differential expression analysis of high-throughput sequencing count data under a Bayesian nonparametric framework, removing sophisticated ad hoc pre-processing steps commonly required in existing algorithms. We propose to use the gamma (beta) negative binomial process, which takes into account different sequencing depths using sample-specific negative binomial probability (dispersion) parameters, to detect differentially expressed genes by comparing the posterior distributions of gene-specific negative binomial dispersion (probability) parameters. These model parameters are inferred by borrowing statistical strength across both the genes and samples. Extensive experiments on both simulated and real-world RNA sequencing count data show that the proposed differential expression analysis algorithms clearly outperform previously proposed ones in terms of the areas under both the receiver operating characteristic and precision-recall curves. Supplementary materials for this article are available online.","Markov chain Monte Carlo,Negative binomial processes,Over-dispersion,RNA-Seq,Symmetric Kullback-Leibler divergence","Dadaneh, Siamak Zamani@Texas A&M University College Station@Texas A&M University System::Qian, Xiaoning@Texas A&M University College Station@Texas A&M University System@University of Texas Austin@University of Texas System::Zhou, Mingyuan@University of Texas Austin@University of Texas System"
Pair Copula Constructions for Insurance Experience Rating,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,38,"In nonlife insurance, insurers use experience rating to adjust premiums to reflect policyholders' previous claim experience. Performing prospective experience rating can be challenging when the claim distribution is complex. For instance, insurance claims are semicontinuous in that a fraction of zeros is often associated with an otherwise positive continuous outcome from a right-skewed and long-tailed distribution. Practitioners use credibility premium that is a special form of the shrinkage estimator in the longitudinal data framework. However, the linear predictor is not informative especially when the outcome follows a mixed distribution. In this article, we introduce a mixed vine pair copula construction framework for modeling semicontinuous longitudinal claims. In the proposed framework, a two-component mixture regression is employed to accommodate the zero inflation and thick tails in the claim distribution. The temporal dependence among repeated observations is modeled using a sequence of bivariate conditional copulas based on a mixed D-vine. We emphasize that the resulting predictive distribution allows insurers to incorporate past experience into future premiums in a nonlinear fashion and the classic linear predictor can be viewed as a nested case. In the application, we examine a unique claims dataset of government property insurance from the state of Wisconsin. Due to the discrepancies between the claim and premium distributions, we employ an ordered Lorenz curve to evaluate the predictive performance. We show that the proposed approach offers substantial opportunities for separating risks and identifying profitable business when compared with alternative experience rating methods. Supplementary materials for this article are available online.","Government insurance,Mixed D-vine,Mixture regression,Predictive distribution,Zero inflation","Shi, Peng@University of Wisconsin System@University of Wisconsin Madison::Yang, Lu@University of Amsterdam"
